1760964083438 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978378131 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760978378150 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978378151 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760978378152 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760978378161 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760978378165 | EMP-2 | Gaiato Vendedor |  | CommissionedEmployee
1760978378172 | EMP-3 | Joaozinho da Silva |  | HourlyEmployee
1760978378216 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978378217 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760978378217 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760978513518 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978513527 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760978513528 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760978513549 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978513550 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760978513551 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760978513561 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760978513567 | EMP-2 | Gaiato Vendedor |  | CommissionedEmployee
1760978513574 | EMP-3 | Joaozinho da Silva |  | HourlyEmployee
1760978513621 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760978513622 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760978513622 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255477 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255485 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255485 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255506 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255506 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255507 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255520 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979255525 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760979255529 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760979255531 | EMP-4 | Mariazinha |  | SalariedEmployee
1760979255535 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760979255542 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255543 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255543 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255717 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255725 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255725 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255746 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255746 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255747 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255753 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979255761 | EMP-2 | Maria |  | HourlyEmployee
1760979255771 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255771 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255772 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255918 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255925 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255926 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255947 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255948 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255949 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979255956 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979255959 | EMP-2 | Mariazinha |  | HourlyEmployee
1760979255962 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760979255965 | EMP-4 | Gorete |  | SalariedEmployee
1760979255986 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979255987 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979255987 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256152 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256160 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256161 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256182 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256183 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256183 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256191 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979256194 | EMP-2 | Mariazinha |  | CommissionedEmployee
1760979256199 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760979256201 | EMP-4 | Gorete |  | SalariedEmployee
1760979256221 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256222 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256222 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256369 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256378 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256378 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256399 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256400 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256401 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256408 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979256414 | EMP-2 | Mariazinha |  | SalariedEmployee
1760979256417 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760979256420 | EMP-4 | Gorete |  | HourlyEmployee
1760979256442 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256442 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256443 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256582 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256590 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256590 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256611 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256611 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256612 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256619 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979256628 | EMP-1 | Joaozinho da Silva |  | SalariedEmployee
1760979256635 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760979256635 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760979256639 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979256645 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979256646 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256647 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256647 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256816 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256823 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256824 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256845 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979256846 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979256847 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979256854 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760979256859 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760979256870 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760979256874 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760979256883 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760979256891 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760979256895 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760979256898 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760979256905 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760979256909 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760979256914 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760979256919 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760979257206 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257215 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257215 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257237 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257237 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257238 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257245 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979257250 | EMP-2 | Gaiato Vendedor |  | CommissionedEmployee
1760979257255 | EMP-3 | Joaozinho da Silva |  | HourlyEmployee
1760979257297 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257298 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257298 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257344 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257344 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257345 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257516 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257524 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257525 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257545 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257547 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257548 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257560 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979257566 | EMP-2 | Mariazinha |  | SalariedEmployee
1760979257572 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760979257579 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257580 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257580 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257584 | EMP-4 | Alfa Um Horista |  | HourlyEmployee
1760979257619 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257619 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257620 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257622 | EMP-5 | Alfa Um Horista |  | HourlyEmployee
1760979257633 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257633 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257634 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257636 | EMP-6 | Beta Dois Assalariado |  | SalariedEmployee
1760979257644 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257645 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257645 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257647 | EMP-7 | Beta Dois Assalariado |  | SalariedEmployee
1760979257654 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257655 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257655 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257657 | EMP-8 | Gama Tres Comissionado |  | CommissionedEmployee
1760979257665 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257667 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257667 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257669 | EMP-9 | Gama Tres Comissionado |  | CommissionedEmployee
1760979257678 | EMP-10 | Joao da Silva |  | HourlyEmployee
1760979257681 | EMP-11 | Mariazinha |  | SalariedEmployee
1760979257683 | EMP-12 | Gaiato Vendedor |  | CommissionedEmployee
1760979257685 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257685 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257686 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257826 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257834 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257834 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257879 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257879 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257880 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257891 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979257895 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760979257896 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760979257900 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257900 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257900 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257902 | EMP-4 | Joao da Silva |  | SalariedEmployee
1760979257904 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760979257930 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257931 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257931 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257933 | EMP-6 | Joao da Silva |  | SalariedEmployee
1760979257935 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760979257943 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257943 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257944 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257945 | EMP-8 | Joao da Silva |  | SalariedEmployee
1760979257948 | __SCHEDULE__::semanal 3 3 | SCHEDULE | semanal 3 3 | SalariedEmployee
1760979257958 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257958 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257959 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257961 | EMP-10 | Joao da Silva |  | SalariedEmployee
1760979257962 | __SCHEDULE__::semanal 52 1 | SCHEDULE | semanal 52 1 | SalariedEmployee
1760979257973 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257973 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257974 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979257975 | EMP-12 | Joao da Silva |  | HourlyEmployee
1760979257977 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760979257978 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760979257978 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979257979 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979257979 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286249 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286257 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286258 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286277 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286278 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286278 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286288 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979286294 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760979286297 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760979286301 | EMP-4 | Mariazinha |  | SalariedEmployee
1760979286305 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760979286311 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286311 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286312 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286500 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286507 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286508 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286527 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286528 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286528 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286535 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979286541 | EMP-2 | Maria |  | HourlyEmployee
1760979286553 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286553 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286554 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286695 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286703 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286704 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286723 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286724 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286724 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286732 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979286734 | EMP-2 | Mariazinha |  | HourlyEmployee
1760979286738 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760979286740 | EMP-4 | Gorete |  | SalariedEmployee
1760979286762 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286762 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286763 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286900 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286909 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286909 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286931 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286931 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286932 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979286941 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979286944 | EMP-2 | Mariazinha |  | CommissionedEmployee
1760979286948 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760979286950 | EMP-4 | Gorete |  | SalariedEmployee
1760979286971 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979286972 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979286973 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287120 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287127 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287128 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287148 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287148 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287149 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287156 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979287162 | EMP-2 | Mariazinha |  | SalariedEmployee
1760979287164 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760979287166 | EMP-4 | Gorete |  | HourlyEmployee
1760979287186 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287187 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287187 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287319 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287326 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287327 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287346 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287346 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287346 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287354 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979287364 | EMP-1 | Joaozinho da Silva |  | SalariedEmployee
1760979287370 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760979287371 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760979287374 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979287379 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760979287382 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287382 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287383 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287550 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287557 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287558 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287578 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287579 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287579 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287586 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760979287591 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760979287602 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760979287605 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760979287611 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760979287618 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760979287620 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760979287623 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760979287631 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760979287633 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760979287637 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760979287641 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760979287916 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287928 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287929 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287954 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760979287954 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760979287955 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760979287968 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760979287973 | EMP-2 | Gaiato Vendedor |  | CommissionedEmployee
1760979287980 | EMP-3 | Joaozinho da Silva |  | HourlyEmployee
